name,email,phone,remarks,day,begin_time,end_time,task,role,points_awarded
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,1,08:00,09:30,Setup tables and chairs,helper,5
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,1,12:30,14:00,Serving lunch,backup,0
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,1,14:00,16:00,Afternoon activities,helper,12
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,2,09:00,11:00,Serving snacks and drinks,helper,7
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,3,08:00,09:00,Morning cleaning,helper,4
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,3,09:00,10:30,Serving breakfast,lead,8
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,3,10:30,12:30,Activity facilitation,backup,0
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,3,12:30,14:00,Lunch setup and serving,helper,8
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,3,17:00,18:00,Snack service,helper,6
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,3,19:30,20:30,Serving dinner,helper,8
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,3,20:30,21:30,Staff meeting,backup,0
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,4,13:00,14:30,Lunch and farewell,backup,0
Alice Johnson,alice@example.com,06-1234567,Prefers kitchen work,4,14:30,17:00,Pack and cleanup,helper,10
Bob Smith,bob@example.com,06-2345678,Great with coordination,1,08:00,09:30,Setup tables and chairs,backup,0
Bob Smith,bob@example.com,06-2345678,Great with coordination,1,09:30,11:00,Serving breakfast,lead,8
Bob Smith,bob@example.com,06-2345678,Great with coordination,1,14:00,16:00,Afternoon activities,helper,12
Bob Smith,bob@example.com,06-2345678,Great with coordination,2,17:00,18:00,Serving afternoon snacks,helper,6
Bob Smith,bob@example.com,06-2345678,Great with coordination,2,19:30,21:00,Serving dinner,helper,8
Bob Smith,bob@example.com,06-2345678,Great with coordination,4,08:00,09:30,Final day preparations,lead,5
Bob Smith,bob@example.com,06-2345678,Great with coordination,4,09:30,11:00,Breakfast service,lead,8
Bob Smith,bob@example.com,06-2345678,Great with coordination,4,11:00,13:00,Closing activities,helper,15
Bob Smith,bob@example.com,06-2345678,Great with coordination,4,14:30,17:00,Pack and cleanup,helper,10
Charlie Brown,charlie@example.com,06-3456789,Willing to do any task,1,12:30,14:00,Serving lunch,helper,8
Charlie Brown,charlie@example.com,06-3456789,Willing to do any task,1,14:00,16:00,Afternoon activities,helper,12
Charlie Brown,charlie@example.com,06-3456789,Willing to do any task,2,13:00,15:00,Organizing games,lead,12
