day,begin_time,end_time,task,block,points,role,participant,email
1,08:00,09:30,Setup tables and chairs,morning,5,backup,Bob Smith,bob@example.com
1,08:00,09:30,Setup tables and chairs,morning,5,helper,Alice Johnson,alice@example.com
1,08:00,09:30,Setup tables and chairs,morning,5,helper,Liam O'Brien,liam@example.com
1,08:00,09:30,Setup tables and chairs,morning,5,lead,Frank Miller,frank@example.com
1,09:30,11:00,Serving breakfast,morning,8,backup,Eve Wilson,eve@example.com
1,09:30,11:00,Serving breakfast,morning,8,helper,Diana Prince,diana@example.com
1,09:30,11:00,Serving breakfast,morning,8,lead,Bob Smith,bob@example.com
1,11:00,12:30,Morning games,morning,10,backup,Frank Miller,frank@example.com
1,11:00,12:30,Morning games,morning,10,helper,Eve Wilson,eve@example.com
1,11:00,12:30,Morning games,morning,10,helper,Henry Davis,henry@example.com
1,11:00,12:30,Morning games,morning,10,helper,Kate Murphy,kate@example.com
1,11:00,12:30,Morning games,morning,10,lead,Ivy Chen,ivy@example.com
1,12:30,14:00,Serving lunch,afternoon,8,backup,Alice Johnson,alice@example.com
1,12:30,14:00,Serving lunch,afternoon,8,helper,Charlie Brown,charlie@example.com
1,12:30,14:00,Serving lunch,afternoon,8,helper,Grace Lee,grace@example.com
1,12:30,14:00,Serving lunch,afternoon,8,lead,Jack Robinson,jack@example.com
1,14:00,16:00,Afternoon activities,afternoon,12,backup,Grace Lee,grace@example.com
1,14:00,16:00,Afternoon activities,afternoon,12,helper,Alice Johnson,alice@example.com
1,14:00,16:00,Afternoon activities,afternoon,12,helper,Bob Smith,bob@example.com
1,14:00,16:00,Afternoon activities,afternoon,12,helper,Charlie Brown,charlie@example.com
1,14:00,16:00,Afternoon activities,afternoon,12,helper,Diana Prince,diana@example.com
1,14:00,16:00,Afternoon activities,afternoon,12,lead,Frank Miller,frank@example.com
1,14:00,16:00,Cleaning after lunch,afternoon,5,backup,Ivy Chen,ivy@example.com
1,14:00,16:00,Cleaning after lunch,afternoon,5,helper,Henry Davis,henry@example.com
1,14:00,16:00,Cleaning after lunch,afternoon,5,helper,Kate Murphy,kate@example.com
1,14:00,16:00,Cleaning after lunch,afternoon,5,lead,Jack Robinson,jack@example.com
1,16:00,18:00,Preparing dinner,evening,10,backup,Eve Wilson,eve@example.com
1,16:00,18:00,Preparing dinner,evening,10,helper,Grace Lee,grace@example.com
1,16:00,18:00,Preparing dinner,evening,10,lead,Liam O'Brien,liam@example.com
